question,paragNo,titleNo
"['given', 'esteemed', 'status', 'MVP', 'Super', 'Bowl', '50']",2,0
"['position', 'Von', 'Miller', 'play', 'Denver', 'Broncos']",2,0
"['number', 'solo', 'tackle', 'Von', 'Miller', 'Super', 'Bowl', '50']",2,0
"['forced', 'fumble', 'Von', 'Miller', 'Super', 'Bowl', '50', 'game']",2,0
"['MVP', 'Super', 'Bowl']",2,0
"['tackle', 'Von', 'Miller', 'get', 'game']",2,0
"['time', 'Cam', 'Newton', 'sacked', 'Super', 'Bowl', '50']",2,0
"['time', 'Denver', 'defense', 'force', 'Newton', 'turnover']",2,0
"['Newton', 'turnover', 'resulted', 'seven', 'point', 'Denver']",2,0
"['Most', 'Valuable', 'Player', 'Super', 'Bowl', '50']",2,0
"['position', 'Von', 'Miller', 'play']",2,0
"['time', 'Panthers', 'quarterback', 'sacked']",2,0
"['time', 'Broncos', 'cause', 'turnover', 'game']",2,0
"['Denver', 'player', 'caused', 'two', 'fumble', 'Panthers']",2,0
"['tackle', 'Von', 'Miller', 'accomlish', 'game']",2,0
"['network', 'broadcasted', 'Super', 'Bowl', '50', 'U.S.']",3,0
"['average', 'cost', '30', 'second', 'commercial', 'Super', 'Bowl', '50']",3,0
"['group', 'headlined', 'Super', 'Bowl', '50', 'halftime', 'show']",3,0
"['performer', 'joined', 'headliner', 'Super', 'Bowl', '50', 'halftime', 'show']",3,0
"['At', 'Super', 'Bowl', 'Beyonce', 'headline', 'halftime', 'show']",3,0
"['broadcaster', 'Super', 'Bowl', '50', 'United', 'States']",3,0
"['average', 'cost', '30-second', 'commercial']",3,0
"['halftime', 'performer', 'previously', 'headlined', 'Super', 'Bowl', 'XLVII']",3,0
"['halftime', 'performer', 'previously', 'headlined', 'Super', 'Bowl', 'XLVIII']",3,0
"['main', 'performer', 'year', 'halftime', 'show']",3,0
"['network', 'broadcasted', '50th', 'Super', 'Bowl', 'game']",3,0
"['average', 'cost', 'TV', 'ad', 'lasting', '30', 'second', 'Super', 'Bowl', '50']",3,0
"['male', 'singer', 'performed', 'special', 'guest', 'Super', 'Bowl', '50']",3,0
"['ranking', 'Super', 'Bowl', '50', 'halftime', 'show', 'list', 'watched', 'TV', 'broadcast']",3,0
"['station', 'aired', 'Super', 'Bowl']",3,0
"['much', 'money', '1/2', 'minute', 'commercial', 'cost']",3,0
"['band', 'headlined', 'half-time', 'Super', 'Bowl', '50']",3,0
"['two', 'artist', 'came', 'Coldplay', 'half-time', 'show']",3,0
"['broadcast', 'Super', 'Bowl', 'TV']",3,0
"['headlined', 'halftime', 'show', 'Super', 'Bowl', '50']",3,0
"['special', 'guest', 'Super', 'Bowl', 'halftime', 'show']",3,0
"['Super', 'Bowl', 'halftime', 'show', 'Beyoncé', 'headline']",3,0
"['cost', 'half', 'minute', 'ad']",3,0
"['lead', 'Super', 'Bowl', '50', 'halftime', 'performance']",3,0
"['two', 'famous', 'performer', 'part', 'Super', 'Bowl', '50', 'halftime']",3,0
"['performer', 'lead', 'Super', 'Bowl', 'XLVIII', 'halftime', 'show']",3,0
"['NFL', 'Commissioner', 'early', '2012']",4,0
"['Super', 'Bowl', 'Roger', 'Goodell', 'speak']",4,0
"['year', 'Roger', 'Goodell', 'call', 'Super', 'Bowl', '50', ""'an"", 'important', 'game', 'u', 'league']",4,0
"['Commissioner', 'National', 'Football', 'League']",4,0
"['make', 'quoted', 'remark', 'Super', 'Bowl', '50']",4,0
"['commissioner', 'NFL', '2012']",4,0
"['commissioner', 'NFL']",4,0
"['commissioner', 'NFL']",4,0
"['early', '2012', 'Goodell', 'said', 'Super', 'Bowl', '50', 'would']",4,0
"['one', 'word', 'NFL', 'commissioner', 'use', 'describe', 'Super', 'Bowl', '50', 'intended']",4,0
"['year', 'Roger', 'Goodell', 'announce', 'Super', 'Bowl', '50', 'would', 'important']",4,0
"['Louisiana', 'venue', 'one', 'three', 'considered', 'Super', 'Bowl', '50']",5,0
"['Florida', 'venue', 'one', 'three', 'considered', 'Super', 'Bowl', '50']",5,0
"['California', 'venue', 'one', 'three', 'considered', 'Super', 'Bowl', '50']",5,0
"['venue', 'Miami', 'candidate', 'site', 'Super', 'Bowl', '50']",5,0
"['site', 'located', 'San', 'Francisco', 'Bay', 'Area']",5,0
"['name', 'San', 'Francisco', 'stadium', 'looked', 'possibility', 'Super', 'Bowl', '50']",5,0
"['name', 'New', 'Orleans', 'superdome', 'time', 'Super', 'Bowl', '50', 'took', 'place']",5,0
"['given', 'name', 'Miami', 'stadium', 'time', 'Super', 'Bowl', '50']",5,0
"['three', 'stadium', 'NFL', 'decide', 'game']",5,0
"['site', 'NFL', 'narrow', 'Super', 'Bowl', '50', 'location']",5,0
"['One', 'site', 'Merceds-Benz', 'Superdome', 'located']",5,0
"['name', 'stadium', 'Miami', 'considered']",5,0
"['third', 'city', 'considered']",5,0
"['name', 'stadium', 'San', 'Francisco', 'Bay', 'Area']",5,0
"['Florida', 'stadium', 'considered', 'Super', 'Bowl', '50']",5,0
"['New', 'Orleans', 'stadium', 'considered', 'Super', 'Bowl', '50']",5,0
"['name', 'stadium', 'Super', 'Bowl', '50', 'played']",5,0
"['two', 'finalist', 'hosting', 'Super', 'Bowl', '50', 'announced']",6,0
"['time', 'South', 'Florida/Miami', 'area', 'hosted', 'Super', 'Bowl']",6,0
"['recent', 'Super', 'Bowl', 'hosted', 'South', 'Florida/Miami', 'area']",6,0
"['recent', 'Super', 'Bowl', 'hosted', 'South', 'Florida/Miami', 'area']",6,0
"['San', 'Francisco', 'Bay', 'area', 'last', 'host', 'Super', 'Bowl']",6,0
"['finalist', 'besides', 'Levi', 'Stadium']",6,0
"['finalist', 'announced']",6,0
"['venue', 'Super', 'Bowl', 'XIX', 'take', 'place']",6,0
"['On', 'date', 'Florida', 'legislature', 'decide', 'plan', 'renovate', 'Miami', 'stadium']",6,0
"['year', 'Super', 'Bowl', 'last', 'held', 'Miami/South', 'Florida', 'area']",6,0
"['time', 'Super', 'Bowl', 'taken', 'place', 'Miami', 'Sun', 'Life', 'Stadium']",6,0
"['last', 'Super', 'Bowl', 'took', 'place', 'Sun', 'Life', 'Stadium', 'Miami']",6,0
"['2012', 'stadium', 'named', 'finalist', 'hosting', 'Super', 'Bowl', '50', 'final', 'stadium', 'chosen']",6,0
"['entity', 'stepped', 'caused', 'Miami', 'Sun', 'Life', 'Stadium', 'longer', 'running', 'host', 'Super', 'Bowl', '50']",6,0
"['Prior', 'consideration', 'San', 'Francisco', 'last', 'host', 'Super', 'Bowl']",6,0
"['city', 'hosted', 'Super', 'Bowl', 'ten', 'time']",6,0
"['date', 'top', 'two', 'stadium', 'choice', 'Super', 'Bowl', '50', 'announced']",6,0
"['time', 'prios', 'Sun', 'Life', 'Stadium', 'Super', 'Bowls']",6,0
"['city', 'tied', 'Miami', 'hosting', 'Super', 'Bowl']",6,0
"['last', 'time', 'San', 'Francisco', 'hosted', 'Super', 'Bowl']",6,0
"['decided', 'approve', 'paying', 'renovation', 'Sun', 'Life', 'Stadium', 'league', 'wanted', 'host', 'Super', 'Bowl', '50']",6,0
"['Levi', 'Stadium', 'awarded', 'right', 'host', 'Super', 'Bowl', '50']",7,0
"['voted', 'venue', 'Super', 'Bowl', '50']",7,0
"['Lev', 'Stadium', 'open']",7,0
"['much', 'cost', 'build', 'Levi', 'Stadium']",7,0
"['California', 'city', 'last', 'hosted', 'Super', 'Bowl']",7,0
"['spring', 'meeting', 'NFL', 'owner', 'take', 'place']",7,0
"['On', 'date', 'Super', 'Bowl', '50', 'given', 'Levi', 'Stadium']",7,0
"['much', 'cost', 'build', 'Levi', 'Stadium']",7,0
"['Prior', 'Super', 'Bowl', '50', 'last', 'Super', 'Bowl', 'California']",7,0
"['city', 'last', 'Super', 'Bowl', 'California', 'occur']",7,0
"['year', 'Levi', 'Stadium', 'become', 'fully', 'approved', 'host', 'Super', 'Bowl', '50']",7,0
"['Levi', 'stadium', 'open', 'public']",7,0
"['much', 'cost', 'build', 'stadium', 'Super', 'Bowl', '50', 'played']",7,0
"['year', 'Super', 'Bowl', 'play', 'bay', 'area', 'around', 'San', 'Francisco', 'prior', 'Super', 'Bowl', '50']",7,0
"['Super', 'Bowl', 'hosted', 'San', 'Diego', '2003']",7,0
"['San', 'Francisco', 'voted', 'location', 'Super', 'Bowl', '50']",7,0
"['Levi', 'Stadium', 'open']",7,0
"['last', 'Super', 'Bowl', 'California']",7,0
"['meeting', 'held', 'NFL', 'owner', 'voted', 'location', 'Super', 'Bowl', '50']",7,0
"['Levi', 'Stadium', 'picked', 'Super', 'bowl', '50']",7,0
"['Levi', 'Stadium', 'open']",7,0
"['much', 'Levi', 'Stadium', 'cost']",7,0
"['last', 'time', 'California', 'hosted', 'Super', 'Bowl']",7,0
"['coached', 'Super', 'Bowl', '50', 'participant', 'recent', 'Super', 'Bowl', 'appearance', 'prior', 'Super', 'Bowl', '50']",8,0
"['NFL', 'team', 'finished', 'regular', 'season', 'one', 'loss']",8,0
"['NFL', 'team', 'gone', '15-1', 'one', 'season']",8,0
"['team', 'Super', 'Bowl', '50', '15-1', 'record']",8,0
"['last', 'Super', 'Bowl', 'Broncos', 'participated']",8,0
"['head', 'coach', 'Broncos', 'Super', 'Bowl', 'XLVIII']",8,0
"['number', 'time', 'Denver', 'Broncos', 'played', 'Super', 'Bowl', 'time', 'reached', 'Super', 'Bowl', '50']",8,0
"['NFL', 'team', 'one', 'loss', 'end', 'regular', 'season']",8,0
"['first', 'Super', 'Bowl', 'Carolina', 'Panthers', 'played']",8,0
"['team', 'boast', '15–1', 'regular', 'season', 'record']",8,0
"['seed', 'Carolina', 'Panthers']",8,0
"['seed', 'Denver', 'Broncos']",8,0
"['Prior', 'Super', 'Bowl', '50', 'Broncos', 'last']",8,0
"['Prior', 'Super', 'Bowl', '50', 'Carolina', 'Panthers', 'last']",8,0
"['team', '15-1', 'record', 'regular', 'season']",8,0
"['game', 'Panthers', 'lose', 'regular', 'season', 'Super', 'Bowl', '50']",8,0
"['team', 'Super', 'Bowl', '50', 'championship', 'game', 'eight', 'time']",8,0
"['Before', 'Super', 'Bowl', '50', 'coach', 'name', 'coached', 'team', 'last', 'Super', 'Bowl', 'appearance']",8,0
"['Whic', 'Carolina', 'Panthers', 'running', 'back', 'waived']",9,0
"['Carolina', 'Panthers', 'wide', 'receiver', 'suffered', 'torn', 'ACL', 'season', 'began']",9,0
"['team', '15', 'regular', 'season', 'game', 'since', '16-game', 'schedule', 'adopted']",9,0
"['year', 'NFL', 'switch', '16-game', 'regular', 'season']",9,0
"['best', 'record', 'NFC']",9,0
"['Panthers', 'went', 'Pro', 'Bowl']",9,0
"['Panthers', 'designated', 'All-Pro']",9,0
"['Panther', 'tore', 'ACL', 'preseason']",9,0
"['year', 'league', 'begin', 'schedule', '16', 'game']",9,0
"['year', 'Saints', 'hit', '13-0', 'record']",9,0
"['Packers', 'arrive', 'record', '13-0']",9,0
"['injury', 'Carolina', 'Panthers', 'lose', 'Kelvin', 'Benjamin', 'preseason']",9,0
"['player', 'Panthers', 'lose', 'ACL', 'injury', 'preseason', 'game']",9,0
"['running', 'back', 'Panthers', 'waive']",9,0
"['NFL', 'start', '16', 'game', 'season']",9,0
"['Panthers', 'player', 'selected', 'Pro', 'Bowl']",9,0
"['team', 'best', 'regular', 'season', 'history']",9,0
"['league', 'go', '15', '16', 'game', 'regular', 'season']",9,0
"['team', 'best', 'start', 'ever', 'NFL']",9,0
"['Panthers', 'player', 'chosen', '2015', 'season', 'Pro', 'Bowl']",9,0
"['Pro', 'Bowlers', 'Panthers', 'offense']",10,0
"['total', 'touchdown', 'Cam', 'Newton', 'score']",10,0
"['interception', 'Cam', 'Newton', 'throw']",10,0
"['punt', 'Ted', 'Ginn', 'Jr.', 'return']",10,0
"['started', 'tight', 'end', 'Panthers']",10,0
"['record', 'number', 'touchdown', 'Cam', 'Newton']",10,0
"['best', 'QB', 'ranking', 'Cam', 'Newton', 'hold']",10,0
"['pass', 'Greg', 'Olsen']",10,0
"['position', 'Jerricho', 'Cotchery', 'play']",10,0
"['Panthers', 'RB', 'scored', '6', 'TDs', '13', 'game', 'leading', 'Super', 'Bowl', '50']",10,0
"['Offensive', 'player', 'Panthers', 'selected', 'play', 'Pro', 'Bowl']",10,0
"['quarterback', 'Carolina', 'Panthers']",10,0
"['yard', 'Newton', 'throw', '2015']",10,0
"['touchdown', 'Newton', '2015']",10,0
"['touchdown', 'Jonathan', 'Stewart', '13', 'game']",10,0
"['point', 'Carolina', 'lead', 'NFL', 'scoring', 'offensive', 'play']",10,0
"['yard', 'Newton', 'get', 'pass', '2015', 'season']",10,0
"['touchdown', 'Newton', 'get', '2015', 'season']",10,0
"['Newton', 'quarterback', 'rating', '2015']",10,0
"['reception', 'Cotchery', 'get', '2015', 'season']",10,0
"['point', 'Panthers', 'defense', 'surrender']",11,0
"['career', 'sack', 'Jared', 'Allen']",11,0
"['tackle', 'Luke', 'Kuechly', 'register']",11,0
"['ball', 'Josh', 'Norman', 'intercept']",11,0
"['registered', 'sack', 'team', 'season']",11,0
"['interception', 'Panthers', 'defense', 'credited', '2015']",11,0
"['led', 'Panthers', 'sack']",11,0
"['Panthers', 'defense', 'player', 'selected', 'Pro', 'Bowl']",11,0
"['forced', 'fumble', 'Thomas', 'Davis']",11,0
"['player', 'interception', 'season']",11,0
"['2015', 'season', 'interception', 'Panthers', 'defense', 'get']",11,0
"['five', 'sack', 'nine', 'game', 'Carolina', 'Panthers', 'starter']",11,0
"['Panthers', 'tackle', 'leader', '2015']",11,0
"['interception', 'Josh', 'Norman', 'score', 'touchdown', '2015']",11,0
"['head', 'coach', 'Broncos']",12,0
"['played', 'quarterback', 'Broncos', 'Peyton', 'Manning', 'benched']",12,0
"['Peyton', 'Manning', 'play', 'rookie']",12,0
"['Broncos', 'play', 'last', 'week', 'regular', 'season']",12,0
"['Denver', 'defensive', 'coordinator']",12,0
"['year', 'John', 'Fox', 'head', 'coach', 'Denver', 'Broncos']",12,0
"['name', 'Bronco', 'head', 'coach', 'hired', 'John', 'Fox']",12,0
"['first', 'team', 'Peyton', 'Manning', 'began', 'playing']",12,0
"['old', 'Peyton', 'Manning', '2015']",12,0
"['10th', 'week', '2015', 'season', 'injury', 'Peyton', 'Manning', 'dealing']",12,0
"['John', 'Fox', 'left', 'head', 'coach', 'Broncos', 'replaced']",12,0
"['quarterback', 'Broncos', '2015', 'season']",12,0
"['injury', 'Manning', 'suffer', 'summer', 'season', 'started']",12,0
"['old', 'Manning', 'beginning', '2015', 'season']",12,0
"['game', 'Broncos', 'lose', 'regular', '2015', 'season']",12,0
"['coach', 'left', 'Broncos', 'season', 'prior', 'Super', 'Bowl', '50']",12,0
"['According', 'game', 'stats', 'Super', 'Bowl', '50', 'quarterback', 'worst', 'year', 'since', 'first', 'season', 'player', 'NFL']",12,0
"['Denver', 'head', 'coach', 'Super', 'Bowl', '50']",12,0
"['foot', 'injured', 'Manning', 'sidelined', 'week', '10']",12,0
"['defensive', 'coordinator', 'Broncos', '2015']",12,0
"['Peyton', 'Manning', 'passer', 'rating', 'season']",13,0
"['pick', 'Peyton', 'Manning', 'throw', 'season']",13,0
"['registered', 'reception', 'Broncos']",13,0
"['rushing', 'yard', 'Broncos']",13,0
"['touchdown', 'Brock', 'Osweiler', 'throw', 'season']",13,0
"['passer', 'rating', 'Peyton', 'Manning', 'finished', 'season']",13,0
"['may', 'yard', 'Peyton', 'Manning', 'throw']",13,0
"['number', '17', 'interception', 'Peyton', 'Manning', 'end', 'year']",13,0
"['reception', 'player', 'year']",13,0
"['position', 'Demaryius', 'Thomas', 'play']",13,0
"['Manning', 'passer', 'rating', 'end', 'season']",13,0
"['time', 'Manning', 'intercepted', '2015', 'season']",13,0
"['led', 'Broncos', '105', 'reception']",13,0
"['touchdown', 'Ronnie', 'Hillman', 'make']",13,0
"['Manning', 'passer', 'rating', '2015', 'season']",13,0
"['interception', 'manning', '2015']",13,0
"['Denver', 'player', 'caught', 'ball', '76', 'time', '2015', 'season']",13,0
"['Broncos', 'leading', 'rusher', '2015', 'season']",13,0
"['Ronnie', 'Hillman', 'average', 'yard', 'per', 'carry', '2015']",13,0
"['yard', 'Broncos', 'defense', 'give']",14,0
"['sack', 'Derek', 'Wolfe', 'register']",14,0
"['first', 'team', 'total', 'tackle']",14,0
"['pick', 'Aqib', 'Talib']",14,0
"['position', 'DeMarcus', 'currently', 'play']",14,0
"['position', 'Brandon', 'Marshall', 'currently', 'play']",14,0
"['position', 'Derek', 'Wolfe', 'play', 'currently']",14,0
"['point', 'Broncos', 'defense', 'allow', 'opponent', 'get']",14,0
"['linebacker', 'sack', 'team']",14,0
"['linebacker', 'led', 'Broncos', 'tackle']",14,0
"['interception', 'Aqib', 'Talib', 'regular', 'season']",14,0
"['forced', 'four', 'fumble', 'Broncos', '2015', 'season']",14,0
"['Denver', 'player', '109', 'tackels', '2015', 'season']",14,0
"['two', 'Denver', 'player', 'ranked', '5', 'percent', 'sack']",14,0
"['lost', 'Panthers', 'divisional', 'round', 'playoff']",15,0
"['Panthers', 'face', 'NFC', 'Championship', 'Game']",15,0
"['total', 'yard', 'Panthers', 'NFC', 'Championship']",15,0
"['time', 'Arizona', 'turn', 'ball', 'NFC', 'Championship']",15,0
"['final', 'score', 'game', 'Panthers', 'Seahawks']",15,0
"['team', 'Carolina', 'Panthers', 'played', 'immediately', 'prior', 'NFC', 'Championship', 'game']",15,0
"['score', 'last', 'game', 'Carolina', 'Panthers', 'played', 'prior', 'NFC', 'Championship']",15,0
"['yard', 'Carolina', 'Panthers', 'gain', '487', 'NFC', 'Championship', 'Game']",15,0
"['Carolina', 'beat', 'divisional', 'round']",15,0
"['Panthers', 'play', 'advance', 'Super', 'Bowl']",15,0
"['turnover', 'Panthers', 'force', 'NFC', 'Championship', 'game']",15,0
"['Panthers', 'beat', 'divisional', 'round']",15,0
"['score', '2015', 'NFC', 'championship', 'game']",15,0
"['Panthers', 'play', 'division', 'championship', 'game']",15,0
"['yard', 'Panthers', 'get', 'division', 'championshipt', 'game']",15,0
"['lost', 'Broncos', 'divisional', 'round']",16,0
"['point', 'Broncos', 'score', 'last', 'three', 'minute', 'game', 'versus', 'Pittsburgh']",16,0
"['Super', 'Bowl', 'XLIX']",16,0
"['final', 'score', 'AFC', 'Championship', 'Game']",16,0
"['much', 'time', 'remained', 'clock', 'Broncos', 'made', 'interception', 'clinched', 'AFC', 'Championship', 'Game']",16,0
"['team', 'divisional', 'round', 'winner', 'Broncos', 'Steelers']",16,0
"['final', 'score', 'game', 'Broncos', 'Steelers']",16,0
"['Super', 'Bowl', 'XLIX']",16,0
"['second', 'left', 'game', 'Broncos', 'intercepted', 'pas', 'game']",16,0
"['During', 'Bronco', 'playoff', 'game', 'throw']",16,0
"['Broncos', 'beat', 'divisional', 'game']",16,0
"['point', 'Broncos', 'score', 'final', 'three', 'minute', 'Pittsburgh', 'game']",16,0
"['Broncos', 'defeat', 'AFC', 'Championship', 'game']",16,0
"['Broncos', 'beat', 'win', 'division', '2015']",16,0
"['Broncos', 'beat', 'tp', 'become', 'AFC', 'champion']",16,0
"['second', 'left', 'game', 'Patriots', 'failed', '2-point', 'conversion']",16,0
"['Carolina', 'player', 'injured', 'NFC', 'Championship', 'Game']",17,0
"['injury', 'Thomas', 'Davis', 'suffer', 'NFC', 'Championship']",17,0
"['time', 'Thomas', 'Davis', 'torn', 'ACL', 'career']",17,0
"['year', 'Thomas', 'Davis', 'played', 'NFL']",17,0
"['injury', 'Thomas', 'Davis', 'suffer', 'repeatedly', 'total', 'three', 'time', 'career']",17,0
"['body', 'part', 'Thomas', 'Davis', 'break', 'NFC', 'Championship', 'Game']",17,0
"['year', 'Thomas', 'Davis', 'played', 'NFL']",17,0
"['game', 'Thomas', 'Davis', 'say', 'would', 'play', 'despite', 'breaking', 'bone', 'earlier']",17,0
"['ACL', 'injury', 'Thomas', 'Davis', 'career']",17,0
"['injury', 'Thomas', 'Davis', 'suffer', 'playoff', 'game']",17,0
"['year', 'Thomas', 'Davis', 'played', 'league', 'broke', 'arm', 'NFC', 'Championship', 'game']",17,0
"['suffered', 'broken', 'arm', 'NFC', 'Championship', 'Game']",17,0
"['old', 'Peyton', 'Manning', 'played', 'Super', 'Bowl', '50']",18,0
"['previously', 'held', 'record', 'oldest', 'quarterback', 'play', 'Super', 'Bowl']",18,0
"['old', 'John', 'Elway', 'played', 'Super', 'Bowl', 'XXXIII']",18,0
"['role', 'John', 'Elway', 'currently', 'Broncos', 'franchise']",18,0
"['John', 'Elway', 'play', 'Super', 'Bowl', 'XXXIII']",18,0
"['team', 'winner', 'Super', 'Bowl', 'XXXIII']",18,0
"['General', 'Manager', 'Broncos']",18,0
"['old', 'Elway', 'Super', 'Bowl', 'XXXIII', 'win']",18,0
"['record', 'oldest', 'quarter', 'back', 'Super', 'Bowl', 'game']",18,0
"['team', 'Manning', 'played', 'reached', 'Super', 'Bowl', 'team']",18,0
"['Peyton', 'Manning', 'took', 'different', 'team', 'Super', 'Bowl']",18,0
"['oldest', 'quarterback', 'play', 'Super', 'Bowl']",18,0
"['Prior', 'Manning', 'oldest', 'quarterback', 'play', 'Super', 'Bowl']",18,0
"['Super', 'Bowl', 'Elway', 'win', '38', 'year', 'old']",18,0
"['first', 'quarterback', 'take', 'two', 'team', 'one', 'Super', 'Bowl']",18,0
"['old', 'Manning', 'played', 'Super', 'Bowl', '50']",18,0
"['name', 'quarterback', '38', 'Super', 'Bowl', 'XXXIII']",18,0
"['Manning', 'picked', '1', 'NFL', 'Draft']",19,0
"['Newton', 'first', 'selection', 'NFL', 'Draft']",19,0
"['old', 'Newton', 'Super', 'Bowl', '50']",19,0
"['much', 'older', 'Manning', 'Newton', 'Super', 'Bowl', '50']",19,0
"['2', 'pick', '2011', 'NFL', 'Draft']",19,0
"['considered', 'first', 'choice', 'NFL', 'draft', '1998']",19,0
"['2011', 'first', 'player', 'chosen', 'NFL', 'draft']",19,0
"['old', 'Newton', 'Super', 'Bowl', '50']",19,0
"['position', 'Newton', 'play', 'Super', 'Bowl', '50']",19,0
"['Manning', 'number', 'one', 'pick', 'draft']",19,0
"['Newton', 'number', 'one', 'pick', 'draft']",19,0
"['number', 'two', 'draft', 'pick', '2011']",19,0
"['year', 'Newton', 'hold', 'number', 'one', 'draft', 'pick', 'position']",19,0
"['old', 'Newton', 'Super', 'Bowl', '50']",19,0
"['age', 'difference', 'Newton', 'Manning', 'Super', 'Bowl', '50']",19,0
"['Super', 'Bowl', 'Rivera', 'play']",20,0
"['team', 'Rivera', 'play', 'Super', 'Bowl', 'XX']",20,0
"['position', 'Rivera', 'play', 'Super', 'Bowl', 'XX']",20,0
"['replaced', 'Kubiak', 'Super', 'Bowl', 'XXIV']",20,0
"['team', 'Kubiak', 'play', 'Super', 'Bowl', 'XXI']",20,0
"['position', 'Rivera', 'play', 'Super', 'Bowl', 'XX']",20,0
"['Kubiak', 'take', 'place', 'Super', 'Bowl', 'XXIV']",20,0
"['Panthers', 'head', 'coach', '2015', 'season']",20,0
"['Super', 'Bowl', 'Rivera', 'play', 'player']",20,0
"['slipped', 'Levi', 'Stadium', 'turf', 'week', '6', '2015', 'NFL', 'season']",21,0
"['name', 'turf', 'used', 'Levi', 'Stadium', 'Super', 'Bowl']",21,0
"['field', 'director', 'NFL']",21,0
"['team', 'Justin', 'Tucker', 'play']",21,0
"['position', 'Justin', 'Tucker', 'play']",21,0
"['player', 'turf', 'collapse', 'game', 'Levi', 'Stadium']",21,0
"['position', 'Tucker', 'play', 'Ravens']",21,0
"['used', 'sod', 'Levi', 'Stadium', 'Super', 'Bowl', '50']",21,0
