word,questionNo,paragraphNo,titleNo,count Repeat,question belongs to paragraph,question belongs to paragraph in title
two finalists,134,6,0,1,6,0
south florida,135,6,0,1,6,0
florida miami,135,6,0,1,6,0
miami area,135,6,0,1,6,0
south florida miami,135,6,0,1,6,0
florida miami area,135,6,0,1,6,0
area last,138,6,0,1,6,0
host super,138,21,0,1,6,0
bay area last,138,6,0,1,6,0
host super bowl,138,21,0,1,6,0
levi stadium,139,0,0,1,6,0
bowl xix,141,6,0,1,6,0
super bowl xix,141,6,0,1,6,0
florida legislature,142,6,0,1,6,0
florida area,143,5,32,1,6,0
taken place,144,35,22,1,6,0
miami sun,144,5,0,1,6,0
sun life,144,5,0,1,6,0
life stadium,144,5,0,1,6,0
miami sun life,144,5,0,1,6,0
sun life stadium,144,5,0,1,6,0
last super,145,8,0,1,6,0
last super bowl,145,8,0,1,6,0
ten times,149,4,13,1,6,0
ten times,149,1,17,1,6,0
top two,150,19,0,1,6,0
super bowls,151,18,0,1,6,0
last hosted,159,6,0,1,7,0
spring meetings,160,7,0,1,7,0
nfl owners,160,7,0,1,7,0
prior super,163,8,0,1,7,0
50 last,163,20,20,1,7,0
prior super bowl,163,8,0,1,7,0
become fully,165,8,44,1,7,0
open public,166,5,1,1,7,0
area around,168,16,22,1,7,0
san diego,169,7,0,1,7,0
diego 2003,169,7,0,1,7,0
san diego 2003,169,7,0,1,7,0
bowl appearance,178,1,0,1,8,0
appearance prior,178,8,0,1,8,0
super bowl appearance,178,1,0,1,8,0
bowl appearance prior,178,8,0,1,8,0
appearance prior super,178,8,0,1,8,0
finished regular,179,1,0,2,8,0
season one,179,8,0,1,8,0
one loss,179,8,0,1,8,0
finished regular season,179,1,0,2,8,0
regular season one,179,8,0,1,8,0
season one loss,179,8,0,1,8,0
15 record,181,1,0,1,8,0
bowl broncos,182,8,0,1,8,0
super bowl broncos,182,8,0,1,8,0
head coach,183,12,0,3,8,0
number times,184,13,21,1,8,0
reached super,184,8,0,1,8,0
reached super bowl,184,8,0,1,8,0
first super,186,7,0,1,8,0
bowl carolina,186,8,0,1,8,0
first super bowl,186,7,0,1,8,0
super bowl carolina,186,8,0,1,8,0
bowl carolina panthers,186,8,0,1,8,0
15 regular,187,9,0,2,8,0
season record,187,9,0,1,8,0
15 regular season,187,9,0,2,8,0
regular season record,187,9,0,1,8,0
broncos last,190,22,0,1,8,0
running back,196,9,0,1,9,0
wide receiver,197,9,0,1,9,0
torn acl,197,9,0,1,9,0
season games,198,9,0,1,9,0
games since,198,9,0,1,9,0
16 game,198,9,0,1,9,0
game schedule,198,9,0,1,9,0
regular season games,198,9,0,1,9,0
season games since,198,9,0,1,9,0
16 game schedule,198,9,0,1,9,0
pro bowl,201,9,0,1,9,0
acl preseason,203,9,0,1,9,0
13 record,205,9,0,1,9,0
kelvin benjamin,207,9,0,1,9,0
panthers players,211,47,0,1,9,0
players selected,211,9,0,1,9,0
selected pro,211,9,0,1,9,0
players selected pro,211,9,0,1,9,0
selected pro bowl,211,9,0,1,9,0
best regular,212,9,0,1,9,0
best regular season,212,9,0,1,9,0
15 16,213,44,24,1,9,0
best start,214,9,0,2,9,0
2015 season,215,0,0,1,9,0
panthers offense,216,10,0,1,10,0
total touchdowns,217,10,0,1,10,0
ted ginn,219,10,0,1,10,0
ginn jr,219,10,0,1,10,0
ted ginn jr,219,10,0,1,10,0
tight end,220,10,0,1,10,0
tight end,220,45,0,1,10,0
greg olsen,223,10,0,1,10,0
jerricho cotchery,224,10,0,1,10,0
13 games,225,10,0,1,10,0
selected play,226,11,0,1,10,0
play pro,226,11,0,1,10,0
selected play pro,226,11,0,1,10,0
play pro bowl,226,11,0,1,10,0
jonathan stewart,230,10,0,1,10,0
nfl scoring,231,10,0,1,10,0
newton quarterback,234,53,0,1,10,0
quarterback rating,234,10,0,1,10,0
panthers defense,236,11,0,1,11,0
jared allen,237,11,0,1,11,0
luke kuechly,238,11,0,1,11,0
josh norman,239,11,0,1,11,0
thomas davis,244,11,0,1,11,0
interceptions season,245,16,0,1,11,0
peyton manning,251,12,0,1,12,0
last week,253,12,13,1,12,0
defensive coordinator,254,12,0,1,12,0
many years,255,42,5,1,12,0
many years,255,34,25,1,12,0
many years,255,15,27,1,12,0
john fox,255,8,0,1,12,0
year since,266,8,34,1,12,0
year since,266,62,34,1,12,0
first season,266,67,24,1,12,0
week 10,268,12,0,1,12,0
passer rating,270,13,0,1,13,0
rushing yards,273,10,0,1,13,0
brock osweiler,274,12,0,1,13,0
manning finished,275,13,0,1,13,0
finished season,275,65,24,1,13,0
17 interceptions,277,13,0,1,13,0
demaryius thomas,279,13,0,1,13,0
end season,280,33,34,1,13,0
led broncos,282,18,0,1,13,0
105 receptions,282,13,0,1,13,0
ronnie hillman,283,13,0,1,13,0
leading rusher,287,13,0,1,13,0
yards per,288,13,0,1,13,0
per carry,288,13,0,1,13,0
yards per carry,288,13,0,1,13,0
broncos defense,289,12,0,1,14,0
derek wolfe,290,14,0,1,14,0
team total,291,14,0,1,14,0
total tackles,291,14,0,1,14,0
team total tackles,291,14,0,1,14,0
aqib talib,292,14,0,1,14,0
brandon marshall,294,14,0,1,14,0
forced four,300,14,0,1,14,0
four fumbles,300,14,0,1,14,0
forced four fumbles,300,14,0,1,14,0
divisional round,303,12,0,1,15,0
total yards,305,12,0,1,15,0
yards panthers,305,10,0,1,15,0
last game,309,22,0,1,15,0
game carolina,309,40,0,1,15,0
yards carolina,310,10,0,1,15,0
last three,319,25,14,1,16,0
three minutes,319,16,0,1,16,0
minutes game,319,16,0,1,16,0
three minutes game,319,16,0,1,16,0
much time,322,10,4,2,16,0
seconds left,326,16,0,1,16,0
playoff games,327,16,0,1,16,0
final three,329,16,0,1,16,0
final three minutes,329,16,0,1,16,0
point conversion,333,16,0,1,16,0
three times,338,23,1,2,17,0
three times,338,90,6,1,17,0
arm nfc,344,17,0,1,17,0
arm nfc championship,344,17,0,1,17,0
broken arm,345,17,0,1,17,0
broken arm nfc,345,17,0,1,17,0
held record,347,38,24,1,18,0
oldest quarterback,347,18,0,1,18,0
play super,347,17,0,1,18,0
play super bowl,347,17,0,1,18,0
john elway,348,18,0,1,18,0
bowl xxxiii,348,18,0,1,18,0
super bowl xxxiii,348,18,0,1,18,0
winner super,351,31,0,1,18,0
winner super bowl,351,31,0,1,18,0
general manager,352,18,0,1,18,0
bowl team,355,23,35,1,18,0
many different,356,16,4,1,18,0
many different,356,38,12,1,18,0
many different,356,6,47,1,18,0
different teams,356,18,0,1,18,0
years old,359,42,6,2,18,0
first quarterback,360,18,0,1,18,0
take two,360,19,14,1,18,0
two teams,360,53,0,1,18,0
one super,360,6,0,1,18,0
one super bowl,360,6,0,1,18,0
nfl draft,363,19,0,1,19,0
newton first,364,4,47,2,19,0
much older,366,22,21,1,19,0
manning newton,366,19,0,1,19,0
considered first,368,25,41,1,19,0
2011 first,369,22,31,1,19,0
number one,372,8,0,1,19,0
pick draft,372,19,0,1,19,0
age difference,377,19,0,1,19,0
bowl xx,379,20,0,1,20,0
super bowl xx,379,20,0,1,20,0
bowl xxi,382,22,0,1,20,0
super bowl xxi,382,22,0,1,20,0
field director,389,21,0,1,21,0
justin tucker,390,21,0,1,21,0
game levi,392,7,0,1,21,0
game levi stadium,392,7,0,1,21,0
portion turf,395,21,0,1,21,0
miss field,395,21,0,1,21,0
field goal,395,21,0,1,21,0
miss field goal,395,21,0,1,21,0
bowl games,400,21,0,1,21,0
super bowl games,400,21,0,1,21,0
designated home,401,22,0,2,22,0
home team,401,6,0,1,22,0
designated home team,401,22,0,2,22,0
home team super,401,22,0,1,22,0
lost super,403,22,0,1,22,0
lost super bowl,403,22,0,1,22,0
game denver,405,22,0,1,22,0
champion team,411,22,0,1,22,0
wear road,411,22,0,1,22,0
jerseys super,411,22,0,1,22,0
afc champion team,411,22,0,1,22,0
wore white,412,22,0,1,22,0
white uniforms,412,22,0,1,22,0
bowl xxxii,413,22,0,1,22,0
super bowl xxxii,413,22,0,1,22,0
marriott broncos,419,23,0,1,23,0
panthers used,428,23,0,1,23,0
used super,428,32,0,1,23,0
used super bowl,428,32,0,1,23,0
vice president,434,18,0,1,24,0
vice president,434,88,24,1,24,0
president brand,434,24,0,1,24,0
brand creative,434,24,0,1,24,0
vice president brand,434,24,0,1,24,0
president brand creative,434,24,0,1,24,0
bowl use,435,24,0,1,24,0
standardized logo,435,24,0,1,24,0
logo template,435,24,0,1,24,0
super bowl use,435,24,0,1,24,0
standardized logo template,435,24,0,1,24,0
would used,437,6,12,1,24,0
would used,437,41,14,1,24,0
used name,437,19,41,1,24,0
one would,439,22,4,1,24,0
one would,439,82,24,1,24,0
would use,441,6,23,1,24,0
use roman,441,24,0,1,24,0
decide use,442,20,28,1,24,0
used denote,445,3,30,1,24,0
game number,446,21,0,1,24,0
sideline jackets,449,25,0,1,25,0
jackets hats,449,25,0,1,25,0
gold trimmed,449,25,0,1,25,0
trimmed logos,449,25,0,1,25,0
sideline jackets hats,449,25,0,1,25,0
gold trimmed logos,449,25,0,1,25,0
50 yard,451,25,0,1,25,0
yard line,451,25,0,1,25,0
50 yard line,451,25,0,1,25,0
high schools,452,39,5,1,25,0
schools leading,452,25,30,1,25,0
given high,454,25,0,1,25,0
nfl experience,457,26,0,1,26,0
moscone center,458,26,0,1,26,0
center located,458,18,35,1,26,0
city supervisor,460,26,0,1,26,0
bowl city,461,26,0,1,26,0
super bowl city,461,26,0,1,26,0
many people,462,77,3,1,26,0
many people,462,80,6,1,26,0
francisco super,463,26,0,1,26,0
san francisco super,463,26,0,1,26,0
francisco super bowl,463,26,0,1,26,0
experience held,464,26,0,1,26,0
held super,464,25,0,1,26,0
nfl experience held,464,26,0,1,26,0
held super bowl,464,25,0,1,26,0
opened january,467,26,0,1,26,0
justin herman,467,26,0,1,26,0
herman plaza,467,26,0,1,26,0
justin herman plaza,467,26,0,1,26,0
providing services,472,37,15,1,26,0
providing services,472,95,24,1,26,0
bellomy field,474,27,0,1,27,0
long event,476,27,0,1,27,0
event santa,476,27,0,1,27,0
santa clara,476,0,0,1,27,0
clara convention,476,27,0,1,27,0
convention center,476,27,0,1,27,0
long event santa,476,27,0,1,27,0
event santa clara,476,27,0,1,27,0
santa clara convention,476,27,0,1,27,0
clara convention center,476,27,0,1,27,0
beer wine,480,27,0,1,27,0
wine food,480,27,0,1,27,0
food festival,480,27,0,1,27,0
festival held,480,28,22,1,27,0
beer wine food,480,27,0,1,27,0
wine food festival,480,27,0,1,27,0
set aside,482,27,0,1,27,0
aside seed,482,27,0,1,27,0
seed funding,482,27,0,1,27,0
week long,482,27,0,1,27,0
set aside seed,482,27,0,1,27,0
aside seed funding,482,27,0,1,27,0
week long event,482,27,0,1,27,0
events san,483,7,7,1,27,0
may called,484,2,32,1,27,0
bowl opening,485,28,0,1,28,0
opening night,485,28,0,1,28,0
super bowl opening,485,28,0,1,28,0
bowl opening night,485,28,0,1,28,0
media day,486,28,0,1,28,0
sap center,488,28,0,1,28,0
traditional media,490,28,0,1,28,0
day held,490,29,22,1,28,0
event held,493,28,0,1,28,0
game media,495,28,0,1,28,0
game media day,495,28,0,1,28,0
name given,496,21,12,1,28,0
player introductions,498,28,0,1,28,0
program provides,504,29,0,1,29,0
local companies,504,29,0,1,29,0
host committee,505,29,0,2,29,0
take part,509,15,2,1,29,0
raise money,511,10,6,1,29,0
bowl program,512,29,0,1,29,0
program called,512,16,35,1,29,0
super bowl program,512,29,0,1,29,0
local businesses,513,9,18,1,29,0
50 host,519,29,0,1,30,0
committee said,519,39,11,1,30,0
would ever,519,14,45,1,30,0
bowl 50 host,519,29,0,1,30,0
50 host committee,519,29,0,1,30,0
sustainable environments,521,30,0,1,30,0
youth development,523,30,0,1,30,0
vince lombardi,528,24,0,1,31,0
lombardi trophy,528,24,0,1,31,0
vince lombardi trophy,528,24,0,1,31,0
winning team,529,53,0,1,31,0
trophy super,532,31,0,1,31,0
trophy super bowl,532,31,0,1,31,0
television station,534,24,18,1,32,0
television station,534,69,24,1,32,0
television station,534,76,24,1,32,0
jim nantz,535,32,0,1,32,0
lead broadcast,535,32,0,1,32,0
broadcast team,535,32,0,1,32,0
lead broadcast team,535,32,0,1,32,0
evan washburn,536,32,0,1,32,0
eyevision 360,537,32,0,1,32,0
tracy wolfson,540,32,0,1,32,0
degree view,541,32,0,1,32,0
television network,544,0,24,1,32,0
television network,544,85,24,1,32,0
network aired,544,13,24,1,32,0
television network aired,544,13,24,1,32,0
broadcast television,545,32,0,1,32,0
television partners,545,32,0,1,32,0
partners nfl,545,32,0,1,32,0
broadcast television partners,545,32,0,1,32,0
television partners nfl,545,32,0,1,32,0
broadcast game,551,33,0,1,33,0
espn deportes,552,33,0,3,33,0
spanish language,553,33,0,3,33,0
raul allegre,553,33,0,1,33,0
cbs nfl,554,33,0,1,33,0
deportes broadcast,555,33,0,1,33,0
espn deportes broadcast,555,33,0,1,33,0
sideline reporter,558,33,0,1,33,0
cbs sports,565,34,0,1,34,0
people could,569,40,25,1,34,0
mobile phones,571,53,24,1,34,0
mobile service,572,34,0,1,34,0
able watch,572,82,24,1,34,0
media players,573,34,0,1,34,0
deportes spanish,575,34,0,1,34,0
espn deportes spanish,575,34,0,1,34,0
talk show,576,75,24,2,35,0
late local,577,35,0,1,35,0
local programming,577,35,0,1,35,0
late local programming,577,35,0,1,35,0
late night,578,35,0,1,35,0
late show,581,35,0,2,35,0
show stephen,581,35,0,1,35,0
stephen colbert,581,35,0,1,35,0
late show stephen,581,35,0,1,35,0
show stephen colbert,581,35,0,1,35,0
base rate,583,36,0,1,36,0
rate 30,583,36,0,1,36,0
base rate 30,583,36,0,1,36,0
rate 30 second,583,36,0,1,36,0
crash super,585,36,0,1,36,0
bowl contest,585,36,0,1,36,0
crash super bowl,585,36,0,1,36,0
super bowl contest,585,36,0,1,36,0
anniversary pokémon,586,36,0,1,36,0
company debuted,590,49,24,1,36,0
ad first,590,8,11,1,36,0
first time,590,9,0,1,36,0
first time,590,66,24,1,36,0
first time super,590,29,0,1,36,0
air multiple,592,36,0,1,36,0
steep discount,592,36,0,1,36,0
last year,594,7,9,1,36,0
bowl would,595,24,0,1,36,0
super bowl would,595,24,0,1,36,0
bowl ad,596,36,0,1,36,0
super bowl ad,596,36,0,1,36,0
free advertisement,598,37,0,1,37,0
death wish,599,37,0,2,37,0
wish coffee,599,37,0,2,37,0
death wish coffee,599,37,0,2,37,0
small business,603,37,0,1,37,0
business big,603,37,0,1,37,0
big game,603,37,0,1,37,0
small business big,603,37,0,1,37,0
business big game,603,37,0,1,37,0
commercial aired,604,37,0,1,37,0
aired free,604,37,0,1,37,0
commercial aired free,604,37,0,1,37,0
many companies,605,31,15,1,37,0
10 cloverfield,610,38,0,1,38,0
cloverfield lane,610,38,0,1,38,0
10 cloverfield lane,610,38,0,1,38,0
independence day,611,38,0,1,38,0
paramount paid,613,38,0,1,38,0
aired game,613,36,0,1,38,0
universal paid,614,38,0,1,38,0
paid secret,614,38,0,1,38,0
secret life,614,38,0,1,38,0
life pets,614,38,0,1,38,0
universal paid secret,614,38,0,1,38,0
paid secret life,614,38,0,1,38,0
secret life pets,614,38,0,1,38,0
disney paid,615,38,0,1,38,0
jungle book,615,38,0,1,38,0
book alice,615,38,0,1,38,0
alice looking,615,38,0,1,38,0
looking glass,615,38,0,1,38,0
jungle book alice,615,38,0,1,38,0
book alice looking,615,38,0,1,38,0
alice looking glass,615,38,0,1,38,0
jason bourne,617,38,0,1,38,0
men apocalypse,618,38,0,1,38,0
radio network,619,1,24,1,39,0
play play,620,33,0,1,39,0
westwood one,620,39,0,1,39,0
pre game,621,33,0,1,39,0
game coverage,621,33,0,1,39,0
dan fouts,622,39,0,1,39,0
mark malone,623,39,0,1,39,0
color analysts,624,39,0,1,39,0
carry game,626,39,0,1,39,0
game throughout,626,39,0,1,39,0
throughout north,626,39,0,1,39,0
north america,626,39,0,1,39,0
carry game throughout,626,39,0,1,39,0
game throughout north,626,39,0,1,39,0
throughout north america,626,39,0,1,39,0
play announcer,627,39,0,1,39,0
play play announcer,627,39,0,1,39,0
halftime coverage,628,39,0,1,39,0
jim gray,632,39,0,1,39,0
one broadcast,633,43,34,1,39,0
radio station,634,49,22,1,40,0
radio market,635,4,24,1,40,0
frequency radio,636,52,3,1,40,0
station wbt,636,40,0,1,40,0
north carolina,636,40,0,1,40,0
wbt fm,637,40,0,1,40,0
radio stations,639,1,24,1,40,0
radio stations,639,87,24,2,40,0
radio stations,639,91,24,2,40,0
color commentary,640,40,0,2,40,0
two radio,643,3,24,1,40,0
south carolina,644,40,0,1,40,0
bbc radio,645,41,0,1,41,0
united kingdom,645,41,0,1,41,0
united kingdom,645,0,8,1,41,0
greg brady,647,41,0,1,41,0
rocky boiman,647,41,0,1,41,0
darren fletcher,649,41,0,1,41,0
fletcher rocky,649,41,0,1,41,0
darren fletcher rocky,649,41,0,1,41,0
fletcher rocky boiman,649,41,0,1,41,0
player mvp,651,1,0,1,42,0
bowl xli,652,42,0,1,42,0
super bowl xli,652,42,0,1,42,0
harvey martin,653,42,0,1,42,0
appeared together,655,24,34,2,42,0
shown locker,656,42,0,1,42,0
locker room,656,42,0,1,42,0
shown locker room,656,42,0,1,42,0
died 2001,657,42,0,1,42,0
pregame ceremony,659,42,0,1,42,0
lady gaga,663,43,0,1,43,0
marlee matlin,665,43,0,1,43,0
national anthem,667,43,0,1,43,0
asl translation,669,43,0,1,43,0
sign language,671,43,0,1,43,0
previous super,679,42,0,1,44,0
bruno mars,679,3,0,1,44,0
previous super bowl,679,42,0,1,44,0
Jan-16,684,44,0,1,44,0
would join,684,96,6,1,44,0
opening kickoff,687,45,0,1,45,0
22 yard,688,45,0,1,45,0
yard pass,688,45,0,1,45,0
shaq thompson,689,45,0,1,45,0
20 yards,691,45,0,1,45,0
tackled ronnie,693,45,0,1,45,0
tackled ronnie hillman,693,45,0,1,45,0
post season,695,52,0,1,45,0
18 yard,697,45,0,1,45,0
opening drive,697,49,0,1,45,0
18 yard pass,697,45,0,1,45,0
took ball,698,48,0,1,45,0
panthers 14,698,45,0,1,45,0
14 yard,698,45,0,1,45,0
panthers 14 yard,698,45,0,1,45,0
14 yard line,698,45,0,1,45,0
entire postseason,700,45,0,1,45,0
pass jerricho,702,46,0,1,46,0
pass jerricho cotchery,702,46,0,1,46,0
stripped ball,703,51,0,1,46,0
ball end,704,47,0,1,46,0
end zone,704,46,0,1,46,0
ball end zone,704,47,0,1,46,0
fumble return,710,46,0,1,46,0
return touchdown,710,46,0,1,46,0
fumble return touchdown,710,46,0,1,46,0
score 10,715,47,0,1,47,0
brad nortman,717,47,0,1,47,0
jordan norwood,718,47,0,1,47,0
bowl record,718,47,0,1,47,0
super bowl record,718,47,0,1,47,0
passing yards,720,12,0,2,47,0
61 yard,723,47,0,1,47,0
yard return,723,47,0,1,47,0
called fair,723,47,0,1,47,0
fair catch,723,47,0,1,47,0
61 yard return,723,47,0,1,47,0
called fair catch,723,47,0,1,47,0
13 super,724,53,0,1,47,0
13 super bowl,724,53,0,1,47,0
mike tolbert,727,10,0,1,48,0
danny trevathan,728,14,0,1,48,0
tipped manning,729,48,0,1,48,0
manning pass,729,48,0,1,48,0
tipped manning pass,729,48,0,1,48,0
first half,730,0,2,1,48,0
fumbled ball,732,49,0,1,48,0
darian stewart,732,48,0,1,48,0
end first,735,19,36,1,48,0
ball back,738,48,0,1,48,0
11 seconds,740,48,0,1,48,0
11 seconds left,740,48,0,1,48,0
45 yard,741,48,0,1,49,0
45 yard pass,741,49,0,1,49,0
33 yard,744,47,0,1,49,0
yard field,744,45,0,1,49,0
33 yard field,744,47,0,1,49,0
yard field goal,744,45,0,1,49,0
drive second,746,49,0,1,49,0
second half,746,15,0,1,49,0
opening drive second,746,49,0,1,49,0
drive second half,746,49,0,1,49,0
gano hit,747,49,0,1,49,0
44 yard,747,49,0,1,49,0
goal attempt,747,49,0,1,49,0
44 yard field,747,49,0,1,49,0
field goal attempt,747,49,0,1,49,0
next set,748,37,6,1,49,0
set downs,748,51,0,1,49,0
recovered ward,749,51,0,1,49,0
graham gano,755,49,0,1,50,0
16 yard,756,50,0,1,50,0
12 yard,757,50,0,1,50,0
early fourth,758,50,0,1,50,0
broncos drove,758,50,0,1,50,0
line panthers,758,48,0,1,50,0
yard line panthers,758,48,0,1,50,0
knocked ball,759,46,0,1,50,0
ball manning,759,50,0,1,50,0
next play,759,50,0,1,50,0
knocked ball manning,759,50,0,1,50,0
next three,761,45,0,1,50,0
three drives,761,50,0,1,50,0
next three drives,761,50,0,1,50,0
ball away,762,51,0,1,50,0
score 16,764,50,0,1,50,0
16 10,764,50,0,1,50,0
score 16 10,764,50,0,1,50,0
line carolina,766,45,0,1,51,0
51 left,766,51,0,1,51,0
yard line carolina,766,45,0,1,51,0
