question,hit_lost,in_ist_index,actual_parag,titleNo
"['touchdown', 'Brock', 'Osweiler', 'throw', 'season']",0,13,13,0
"['passer', 'rating', 'Peyton', 'Manning', 'finished', 'season']",0,13,13,0
"['may', 'yard', 'Peyton', 'Manning', 'throw']",0,13,13,0
"['number', '17', 'interception', 'Peyton', 'Manning', 'end', 'year']",0,13,13,0
"['reception', 'player', 'year']",0,13,13,0
"['position', 'Demaryius', 'Thomas', 'play']",0,13,13,0
"['Manning', 'passer', 'rating', 'end', 'season']",0,13,13,0
"['time', 'Manning', 'intercepted', '2015', 'season']",0,13,13,0
"['led', 'Broncos', '105', 'reception']",0,13,13,0
"['touchdown', 'Ronnie', 'Hillman', 'make']",0,13,13,0
"['Manning', 'passer', 'rating', '2015', 'season']",0,13,13,0
"['interception', 'manning', '2015']",0,13,13,0
"['Denver', 'player', 'caught', 'ball', '76', 'time', '2015', 'season']",0,13,13,0
"['Broncos', 'leading', 'rusher', '2015', 'season']",0,13,13,0
"['Ronnie', 'Hillman', 'average', 'yard', 'per', 'carry', '2015']",0,13,13,0
"['yard', 'Broncos', 'defense', 'give']",0,14,14,0
"['sack', 'Derek', 'Wolfe', 'register']",0,14,14,0
"['first', 'team', 'total', 'tackle']",1,2,14,0
"['pick', 'Aqib', 'Talib']",0,14,14,0
"['position', 'DeMarcus', 'currently', 'play']",0,14,14,0
"['position', 'Brandon', 'Marshall', 'currently', 'play']",0,14,14,0
"['position', 'Derek', 'Wolfe', 'play', 'currently']",0,14,14,0
"['point', 'Broncos', 'defense', 'allow', 'opponent', 'get']",0,14,14,0
"['linebacker', 'sack', 'team']",1,0,14,0
"['linebacker', 'led', 'Broncos', 'tackle']",0,14,14,0
"['interception', 'Aqib', 'Talib', 'regular', 'season']",1,3,14,0
"['forced', 'four', 'fumble', 'Broncos', '2015', 'season']",1,2,14,0
"['Denver', 'player', '109', 'tackels', '2015', 'season']",0,14,14,0
"['two', 'Denver', 'player', 'ranked', '5', 'percent', 'sack']",0,14,14,0
"['lost', 'Panthers', 'divisional', 'round', 'playoff']",0,15,15,0
"['Panthers', 'face', 'NFC', 'Championship', 'Game']",0,15,15,0
"['total', 'yard', 'Panthers', 'NFC', 'Championship']",1,3,15,0
"['time', 'Arizona', 'turn', 'ball', 'NFC', 'Championship']",0,15,15,0
"['final', 'score', 'game', 'Panthers', 'Seahawks']",0,15,15,0
"['team', 'Carolina', 'Panthers', 'played', 'immediately', 'prior', 'NFC', 'Championship', 'game']",0,15,15,0
"['score', 'last', 'game', 'Carolina', 'Panthers', 'played', 'prior', 'NFC', 'Championship']",0,15,15,0
"['yard', 'Carolina', 'Panthers', 'gain', '487', 'NFC', 'Championship', 'Game']",0,15,15,0
"['Carolina', 'beat', 'divisional', 'round']",0,15,15,0
"['Panthers', 'play', 'advance', 'Super', 'Bowl']",0,15,15,0
"['turnover', 'Panthers', 'force', 'NFC', 'Championship', 'game']",0,15,15,0
"['Panthers', 'beat', 'divisional', 'round']",0,15,15,0
"['score', '2015', 'NFC', 'championship', 'game']",0,15,15,0
"['Panthers', 'play', 'division', 'championship', 'game']",0,15,15,0
"['yard', 'Panthers', 'get', 'division', 'championshipt', 'game']",1,2,15,0
"['lost', 'Broncos', 'divisional', 'round']",0,16,16,0
"['point', 'Broncos', 'score', 'last', 'three', 'minute', 'game', 'versus', 'Pittsburgh']",0,16,16,0
"['Super', 'Bowl', 'XLIX']",0,16,16,0
"['final', 'score', 'AFC', 'Championship', 'Game']",0,16,16,0
"['much', 'time', 'remained', 'clock', 'Broncos', 'made', 'interception', 'clinched', 'AFC', 'Championship', 'Game']",0,16,16,0
"['team', 'divisional', 'round', 'winner', 'Broncos', 'Steelers']",1,1,16,0
"['final', 'score', 'game', 'Broncos', 'Steelers']",0,16,16,0
"['Super', 'Bowl', 'XLIX']",0,16,16,0
"['second', 'left', 'game', 'Broncos', 'intercepted', 'pas', 'game']",0,16,16,0
"['During', 'Bronco', 'playoff', 'game', 'throw']",0,16,16,0
"['Broncos', 'beat', 'divisional', 'game']",0,16,16,0
"['point', 'Broncos', 'score', 'final', 'three', 'minute', 'Pittsburgh', 'game']",0,16,16,0
"['Broncos', 'defeat', 'AFC', 'Championship', 'game']",0,16,16,0
"['Broncos', 'beat', 'win', 'division', '2015']",0,16,16,0
"['Broncos', 'beat', 'tp', 'become', 'AFC', 'champion']",0,16,16,0
"['second', 'left', 'game', 'Patriots', 'failed', '2-point', 'conversion']",0,16,16,0
"['Carolina', 'player', 'injured', 'NFC', 'Championship', 'Game']",0,17,17,0
"['injury', 'Thomas', 'Davis', 'suffer', 'NFC', 'Championship']",0,17,17,0
"['time', 'Thomas', 'Davis', 'torn', 'ACL', 'career']",0,17,17,0
"['year', 'Thomas', 'Davis', 'played', 'NFL']",0,17,17,0
"['injury', 'Thomas', 'Davis', 'suffer', 'repeatedly', 'total', 'three', 'time', 'career']",0,17,17,0
"['body', 'part', 'Thomas', 'Davis', 'break', 'NFC', 'Championship', 'Game']",0,17,17,0
"['year', 'Thomas', 'Davis', 'played', 'NFL']",0,17,17,0
"['game', 'Thomas', 'Davis', 'say', 'would', 'play', 'despite', 'breaking', 'bone', 'earlier']",0,17,17,0
"['ACL', 'injury', 'Thomas', 'Davis', 'career']",0,17,17,0
"['injury', 'Thomas', 'Davis', 'suffer', 'playoff', 'game']",0,17,17,0
"['year', 'Thomas', 'Davis', 'played', 'league', 'broke', 'arm', 'NFC', 'Championship', 'game']",0,17,17,0
"['suffered', 'broken', 'arm', 'NFC', 'Championship', 'Game']",0,17,17,0
"['old', 'Peyton', 'Manning', 'played', 'Super', 'Bowl', '50']",0,18,18,0
"['previously', 'held', 'record', 'oldest', 'quarterback', 'play', 'Super', 'Bowl']",0,18,18,0
"['old', 'John', 'Elway', 'played', 'Super', 'Bowl', 'XXXIII']",0,18,18,0
"['role', 'John', 'Elway', 'currently', 'Broncos', 'franchise']",0,18,18,0
"['John', 'Elway', 'play', 'Super', 'Bowl', 'XXXIII']",0,18,18,0
"['team', 'winner', 'Super', 'Bowl', 'XXXIII']",0,18,18,0
"['General', 'Manager', 'Broncos']",0,18,18,0
