word,label,parag_no,title_no
only ten,CARDINAL,8,0
a regular season,DATE,8,0
only one,CARDINAL,8,0
one,CARDINAL,8,0
only six,CARDINAL,8,0
Denver,GPE,8,0
one,CARDINAL,8,0
four,CARDINAL,8,0
eight,CARDINAL,8,0
the Super Bowl,EVENT,8,0
Broncos,PRODUCT,8,0
second,ORDINAL,8,0
Super Bowl,EVENT,8,0
three years,DATE,8,0
Super Bowl XLVIII,EVENT,8,0
Panthers,NORP,8,0
second,ORDINAL,8,0
Super Bowl,EVENT,8,0
Super Bowl,EVENT,8,0
John Fox,PERSON,8,0
Super Bowl,EVENT,8,0
Super Bowl,ORG,8,0
DeAngelo Williams,PERSON,9,0
Kelvin Benjamin,PERSON,9,0
ACL,ORG,9,0
the Carolina Panthers,ORG,9,0
seventh,ORDINAL,9,0
at least 15,CARDINAL,9,0
16,CARDINAL,9,0
1978,DATE,9,0
Carolina,LOC,9,0
NFC,ORG,9,0
NFL,ORG,9,0
2009,DATE,9,0
New Orleans Saints,ORG,9,0
NFC,ORG,9,0
Panthers,NORP,9,0
NFC,ORG,9,0
first,ORDINAL,9,0
Ten,CARDINAL,9,0
the Pro Bowl,EVENT,9,0
eight,CARDINAL,9,0
Panthers,NORP,10,0
NFL,ORG,10,0
500,CARDINAL,10,0
six,CARDINAL,10,0
Pro Bowl,EVENT,10,0
Pro Bowl,EVENT,10,0
Cam Newton,PERSON,10,0
one,CARDINAL,10,0
"3,837 yards",QUANTITY,10,0
636,CARDINAL,10,0
45,CARDINAL,10,0
35,CARDINAL,10,0
10,CARDINAL,10,0
10,CARDINAL,10,0
99.4,CARDINAL,10,0
Newton,ORG,10,0
Greg Olsen,PERSON,10,0
77,CARDINAL,10,0
"1,104 yards",QUANTITY,10,0
seven,CARDINAL,10,0
Ted Ginn,PERSON,10,0
44,CARDINAL,10,0
739 yards,QUANTITY,10,0
10,CARDINAL,10,0
Ginn,PERSON,10,0
60 yards,QUANTITY,10,0
27 punts,MONEY,10,0
277 yards,QUANTITY,10,0
Jerricho Cotchery,PERSON,10,0
39,CARDINAL,10,0
485 yards,QUANTITY,10,0
rookie Devin Funchess,PERSON,10,0
31,CARDINAL,10,0
473 yards,QUANTITY,10,0
five,CARDINAL,10,0
second-year,DATE,10,0
Corey Brown,PERSON,10,0
31,CARDINAL,10,0
447 yards,QUANTITY,10,0
Panthers,NORP,10,0
Pro Bowl,EVENT,10,0
Jonathan Stewart,PERSON,10,0
989 rushing yards,QUANTITY,10,0
six,CARDINAL,10,0
13,CARDINAL,10,0
Pro Bowl,EVENT,10,0
Mike Tolbert,PERSON,10,0
256 yards,QUANTITY,10,0
18,CARDINAL,10,0
another 154 yards,QUANTITY,10,0
Carolina,GPE,10,0
two,CARDINAL,10,0
Pro Bowl,LOC,10,0
Ryan Kalil,PERSON,10,0
Trai Turner,PERSON,10,0
Panthers,NORP,11,0
sixth,ORDINAL,11,0
NFL,ORG,11,0
24,CARDINAL,11,0
four,CARDINAL,11,0
Pro Bowl,EVENT,11,0
Pro Bowl,ORG,11,0
Kawann Short,PERSON,11,0
11,CARDINAL,11,0
three,CARDINAL,11,0
two,CARDINAL,11,0
Mario Addison,PERSON,11,0
Panthers,NORP,11,0
Jared Allen,PERSON,11,0
5,CARDINAL,11,0
NFL,ORG,11,0
136,CARDINAL,11,0
Kony Ealy,PERSON,11,0
5,CARDINAL,11,0
9,CARDINAL,11,0
two,CARDINAL,11,0
three,CARDINAL,11,0
the Pro Bowl,EVENT,11,0
Thomas Davis,PERSON,11,0
Luke Kuechly,PERSON,11,0
Davis,PERSON,11,0
5½,CARDINAL,11,0
four,CARDINAL,11,0
four,CARDINAL,11,0
Kuechly,PERSON,11,0
118,CARDINAL,11,0
two,CARDINAL,11,0
four,CARDINAL,11,0
Carolina,GPE,11,0
Pro Bowl,EVENT,11,0
Kurt Coleman,PERSON,11,0
seven,CARDINAL,11,0
88,CARDINAL,11,0
Pro Bowl,EVENT,11,0
Josh Norman,PERSON,11,0
the season,DATE,11,0
four,CARDINAL,11,0
two,CARDINAL,11,0
the previous season's,DATE,12,0
Denver,GPE,12,0
Broncos,PRODUCT,12,0
John Fox,PERSON,12,0
four,CARDINAL,12,0
four years,DATE,12,0
Broncos,PRODUCT,12,0
Gary Kubiak,PERSON,12,0
Kubiak,GPE,12,0
Broncos,PRODUCT,12,0
Peyton Manning's,ORG,12,0
his rookie year,DATE,12,0
the Indianapolis Colts,ORG,12,0
1998,DATE,12,0
fasciitis,NORP,12,0
the summer,DATE,12,0
Manning,EVENT,12,0
39,DATE,12,0
2015,DATE,12,0
NFL,ORG,12,0
week 10,DATE,12,0
NFL,ORG,12,0
four,CARDINAL,12,0
Brock Osweiler,PERSON,12,0
the regular season,DATE,12,0
Manning,ORG,12,0
the Week 17 regular season,DATE,12,0
Broncos,PRODUCT,12,0
4–11,CARDINAL,12,0
San Diego Chargers,ORG,12,0
Manning,GPE,12,0
27–20,CARDINAL,12,0
one,CARDINAL,12,0
AFC,ORG,12,0
Wade Phillips,PERSON,12,0
Broncos,PRODUCT,12,0
one,CARDINAL,12,0
the previous three seasons,DATE,12,0
Broncos,PRODUCT,12,0
the regular season,DATE,12,0
12–4,PERSON,12,0
AFC,ORG,12,0
the year,DATE,13,0
67.9,CARDINAL,13,0
"2,249 yards",QUANTITY,13,0
nine,CARDINAL,13,0
17,CARDINAL,13,0
Osweiler,PERSON,13,0
"1,967 yards",QUANTITY,13,0
10,CARDINAL,13,0
six,CARDINAL,13,0
86.4,CARDINAL,13,0
Demaryius Thomas,PERSON,13,0
105,CARDINAL,13,0
"1,304 yards",QUANTITY,13,0
six,CARDINAL,13,0
Emmanuel Sanders,PERSON,13,0
76,CARDINAL,13,0
"1,135 yards",QUANTITY,13,0
six,CARDINAL,13,0
another 106 yards,QUANTITY,13,0
Owen Daniels,PERSON,13,0
46,CARDINAL,13,0
517 yards,QUANTITY,13,0
C. J. Anderson,PERSON,13,0
863 yards,QUANTITY,13,0
seven,CARDINAL,13,0
25,CARDINAL,13,0
183 yards,QUANTITY,13,0
Ronnie Hillman,PERSON,13,0
720 yards,QUANTITY,13,0
five,CARDINAL,13,0
24,CARDINAL,13,0
4.7 yards,QUANTITY,13,0
19th,ORDINAL,13,0
355,CARDINAL,13,0
Pro Bowl,EVENT,13,0
Broncos,PRODUCT,14,0
first,ORDINAL,14,0
NFL,ORG,14,0
"4,530",CARDINAL,14,0
first,ORDINAL,14,0
fourth,ORDINAL,14,0
296,CARDINAL,14,0
Derek Wolfe,PERSON,14,0
Malik Jackson,PERSON,14,0
5½,CARDINAL,14,0
Pro Bowl,EVENT,14,0
Von Miller,PERSON,14,0
11,CARDINAL,14,0
four,CARDINAL,14,0
three,CARDINAL,14,0
Linebacker DeMarcus Ware,ORG,14,0
the Pro Bowl,EVENT,14,0
ninth,ORDINAL,14,0
second,ORDINAL,14,0
7½,CARDINAL,14,0
Brandon Marshall,PERSON,14,0
109,CARDINAL,14,0
Danny Trevathan,PERSON,14,0
second,ORDINAL,14,0
102,CARDINAL,14,0
Cornerbacks Aqib Talib,PERSON,14,0
three,CARDINAL,14,0
Chris Harris,PERSON,14,0
two,CARDINAL,14,0
two,CARDINAL,14,0
Pro Bowl,EVENT,14,0
Panthers,NORP,15,0
the Seattle Seahawks,ORG,15,0
31–0,ORG,15,0
second,ORDINAL,15,0
half,CARDINAL,15,0
31–24,CARDINAL,15,0
a year earlier,DATE,15,0
Panthers,NORP,15,0
the Arizona Cardinals,ORG,15,0
the NFC Championship Game,EVENT,15,0
487 yards,QUANTITY,15,0
seven,CARDINAL,15,0
Broncos,PRODUCT,16,0
the Pittsburgh Steelers,ORG,16,0
11,CARDINAL,16,0
the final three minutes,TIME,16,0
Super Bowl,EVENT,16,0
New England Patriots,ORG,16,0
the AFC Championship Game,ORG,16,0
New England's,LOC,16,0
2,CARDINAL,16,0
17 seconds,TIME,16,0
the season,DATE,16,0
two,CARDINAL,16,0
Carolina,GPE,17,0
Thomas Davis,PERSON,17,0
11-year,DATE,17,0
three,CARDINAL,17,0
ACL,ORG,17,0
the NFC Championship Game,EVENT,17,0
the Super Bowl,EVENT,17,0
first,ORDINAL,18,0
two,CARDINAL,18,0
Super Bowls,ORG,18,0
a Super Bowl,EVENT,18,0
age 39,DATE,18,0
John Elway,PERSON,18,0
Broncos,PRODUCT,18,0
Super Bowl XXXIII,EVENT,18,0
age 38,DATE,18,0
Denver,GPE,18,0
Football Operations,ORG,18,0
first,ORDINAL,19,0
Super Bowl,EVENT,19,0
1,MONEY,19,0
1,MONEY,19,0
1998,DATE,19,0
NFL,ORG,19,0
Newton,ORG,19,0
first,ORDINAL,19,0
2011,DATE,19,0
two,CARDINAL,19,0
2011,DATE,19,0
Newton,GPE,19,0
Carolina,GPE,19,0
Von Miller,PERSON,19,0
Denver,GPE,19,0
Newton,ORG,19,0
Super Bowl,EVENT,19,0
13 years,DATE,19,0
48 days,DATE,19,0
39,DATE,19,0
Newton,ORG,19,0
26,DATE,19,0
Rivera,GPE,20,0
the Chicago Bears,ORG,20,0
Super Bowl XX,EVENT,20,0
Kubiak,GPE,20,0
Elway,FAC,20,0
the end of the,DATE,20,0
Broncos,PRODUCT,20,0
Super Bowls XXI,ORG,20,0
XXIV,LOC,20,0
first,ORDINAL,20,0
Super Bowl,EVENT,20,0
Levi's Stadium's,ORG,21,0
Super Bowl,EVENT,21,0
week 6,DATE,21,0
earlier in the 2015 season,DATE,21,0
Baltimore Ravens,ORG,21,0
Justin Tucker,PERSON,21,0
Super Bowl,EVENT,21,0
NFL,ORG,21,0
Bermuda 419,PRODUCT,21,0
NFL,ORG,21,0
Atlanta Braves,ORG,21,0
Ed Mangan,PERSON,21,0
annual,DATE,22,0
AFC,ORG,22,0
NFC,ORG,22,0
Broncos,PRODUCT,22,0
Elway,FAC,22,0
Super Bowl,EVENT,22,0
Broncos,PRODUCT,22,0
the Super Bowl,EVENT,22,0
Super Bowl XXXIII,EVENT,22,0
Elway,GPE,22,0
Denver,GPE,22,0
Super Bowl,EVENT,22,0
Super Bowl XXXII,EVENT,22,0
Denver,GPE,22,0
Super Bowl XXI,EVENT,22,0
0,CARDINAL,22,0
Super Bowls,ORG,22,0
Super Bowl XII,EVENT,22,0
XXII,ORG,22,0
XXIV,ORG,22,0
XLVIII,ORG,22,0
AFC,ORG,22,0
the Super Bowl,EVENT,22,0
the Seattle Seahawks 21–10,LOC,22,0
Super Bowl XL,EVENT,22,0
10 seasons,DATE,22,0
Broncos,PRODUCT,22,0
Panthers,NORP,22,0
Panthers,NORP,23,0
San Jose,GPE,23,0
San Jose,GPE,23,0
Broncos,PRODUCT,23,0
Stanford University,ORG,23,0
Santa Clara Marriott,GPE,23,0
"June 4, 2014",DATE,24,0
NFL,ORG,24,0
Super Bowl,EVENT,24,0
Roman,NORP,24,0
Super Bowl V,EVENT,24,0
Arabic,LANGUAGE,24,0
Super Bowl,EVENT,24,0
Super Bowl L.,EVENT,24,0
Roman,NORP,24,0
Super Bowl LI,EVENT,24,0
Jaime Weston,PERSON,24,0
Super Bowl XLV,EVENT,24,0
the Vince Lombardi Trophy,ORG,24,0
2015,DATE,25,0
NFL,ORG,25,0
season,DATE,25,0
"the ""Golden Super Bowl",ORG,25,0
NFL,ORG,25,0
50,CARDINAL,25,0
week 7,DATE,25,0
the Super Bowl,EVENT,25,0
Super Bowl,EVENT,25,0
annual,DATE,26,0
NFL,ORG,26,0
the Moscone Center,FAC,26,0
San Francisco,GPE,26,0
Super Bowl City,EVENT,26,0
January 30,DATE,26,0
Justin Herman Plaza,PERSON,26,0
Embarcadero,FAC,26,0
the Bay Area's,LOC,26,0
More than 1 million,CARDINAL,26,0
San Francisco,GPE,26,0
Super Bowl Week,EVENT,26,0
San Francisco,GPE,26,0
Ed Lee,PERSON,26,0
San Francisco,GPE,26,0
Jane Kim,PERSON,26,0
NFL,ORG,26,0
San Francisco,GPE,26,0
$5 million,MONEY,26,0
$2 million,MONEY,27,0
week-long,DATE,27,0
the Santa Clara Convention Center,ORG,27,0
Bellomy Field,FAC,27,0
Santa Clara University,ORG,27,0
the city council,ORG,27,0
Tuesday,DATE,28,0
afternoon,TIME,28,0
Monday,DATE,28,0
evening,TIME,28,0
Super Bowl Opening Night,EVENT,28,0
"February 1, 2016",DATE,28,0
SAP Center,ORG,28,0
San Jose,GPE,28,0
the Golden Gate Bridge,FAC,28,0
first,ORDINAL,29,0
the Super Bowl,EVENT,29,0
Host Committee,ORG,29,0
NFL,ORG,29,0
lesbian,NORP,29,0
Business Connect,ORG,29,0
Super Bowl,EVENT,29,0
the Super Bowl,EVENT,29,0
over $40 million,MONEY,29,0
Apple,ORG,29,0
Google,ORG,29,0
Yahoo,ORG,29,0
Intel,ORG,29,0
Gap,ORG,29,0
Chevron,ORG,29,0
Dignity Health,ORG,29,0
The Super Bowl,EVENT,30,0
Host Committee,ORG,30,0
Super Bowl,EVENT,30,0
25 percent,PERCENT,30,0
the Bay Area,LOC,30,0
50,CARDINAL,30,0
the Vince Lombardi Trophy,ORG,31,0
Super Bowl,EVENT,31,0
Super Bowl,ORG,31,0
18,CARDINAL,31,0
50,CARDINAL,31,0
33,CARDINAL,31,0
15 kg,QUANTITY,31,0
66,CARDINAL,31,0
30 kg,QUANTITY,31,0
the Lombardi Trophy,ORG,31,0
50,CARDINAL,31,0
Tiffany & Co.,ORG,31,0
the United States,GPE,32,0
CBS,ORG,32,0
three,CARDINAL,32,0
NFL,ORG,32,0
Jim Nantz,PERSON,32,0
Phil Simms,PERSON,32,0
Tracy Wolfson,PERSON,32,0
Evan Washburn,PERSON,32,0
CBS,ORG,32,0
EyeVision,ORG,32,0
36,CARDINAL,32,0
360,CARDINAL,32,0
EyeVision,ORG,32,0
Super Bowl,EVENT,32,0
Super Bowl,ORG,32,0
50,DATE,32,0
5,CARDINAL,32,0
"December 28, 2015",DATE,33,0
ESPN Deportes,PERSON,33,0
CBS,ORG,33,0
NFL,ORG,33,0
Spanish,LANGUAGE,33,0
third,ORDINAL,33,0
Spanish,LANGUAGE,33,0
the Super Bowl,EVENT,33,0
NBC,ORG,33,0
Fox,ORG,33,0
CBS,ORG,33,0
Spanish,LANGUAGE,33,0
Spanish,NORP,33,0
CBS,ORG,33,0
second,ORDINAL,33,0
ESPN Deportes',PERSON,33,0
Monday,DATE,33,0
Alvaro Martin,PERSON,33,0
Raul Allegre,PERSON,33,0
John Sutcliffe,PERSON,33,0
ESPN Deportes,PERSON,33,0
Martin,ORG,33,0
Sutcliffe,ORG,33,0
English,LANGUAGE,33,0
ESPN,ORG,33,0
SportsCenter,ORG,33,0
Mike & Mike,ORG,33,0
CBS,ORG,34,0
CBS Sports,ORG,34,0
Windows 10,PRODUCT,34,0
Xbox One,ORG,34,0
Chromecast,ORG,34,0
Verizon Communications,ORG,34,0
Verizon Wireless,ORG,34,0
NFL Mobile,ORG,34,0
ESPN,ORG,34,0
Spanish,LANGUAGE,34,0
WatchESPN,WORK_OF_ART,34,0
CBS,ORG,35,0
late night,TIME,35,0
Super Bowl,EVENT,35,0
50,DATE,35,0
The Late Show,WORK_OF_ART,35,0
Stephen Colbert,PERSON,35,0
CBS,ORG,35,0
The Late Late Show,WORK_OF_ART,35,0
James Corden,PERSON,35,0
CBS,ORG,36,0
30-second,TIME,36,0
"5,000,000",MONEY,36,0
Super Bowl,EVENT,36,0
January 26,DATE,36,0
CBS,ORG,36,0
first,ORDINAL,36,0
the final year,DATE,36,0
multi-year,DATE,36,0
Anheuser-Busch InBev,ORG,36,0
the final year,DATE,36,0
Doritos,PERSON,36,0
Crash the Super Bowl,WORK_OF_ART,36,0
Doritos,PERSON,36,0
Nintendo,ORG,36,0
The Pokémon Company,ORG,36,0
Super Bowl,EVENT,36,0
20th,ORDINAL,36,0
Pokémon,ORG,36,0
QuickBooks,ORG,37,0
Death Wish Coffee,ORG,37,0
30-second,TIME,37,0
QuickBooks,ORG,37,0
nine,CARDINAL,37,0
the United States,GPE,37,0
20th,ORDINAL,38,0
Century Fox,ORG,38,0
Lionsgate,ORG,38,0
Paramount Pictures,ORG,38,0
Universal Studios,ORG,38,0
Walt Disney Studios,ORG,38,0
the Super Bowl,EVENT,38,0
Fox,ORG,38,0
Deadpool,GPE,38,0
Independence Day,EVENT,38,0
Lionsgate,ORG,38,0
Egypt,GPE,38,0
Paramount,ORG,38,0
Shadows,FAC,38,0
10,CARDINAL,38,0
Cloverfield Lane,PERSON,38,0
The Secret Life of Pets,WORK_OF_ART,38,0
Jason Bourne,PERSON,38,0
Disney,ORG,38,0
Captain America: Civil War,WORK_OF_ART,38,0
Alice Through,PERSON,38,0
North America,LOC,39,0
Kevin Harlan,PERSON,39,0
Boomer Esiason,PERSON,39,0
Dan Fouts,PERSON,39,0
James Lofton,PERSON,39,0
Mark Malone,PERSON,39,0
Jim Gray,PERSON,39,0
Denver,GPE,40,0
KOA,ORG,40,0
850 AM,TIME,40,0
KRFX,PERSON,40,0
103.5,CARDINAL,40,0
Dave Logan,PERSON,40,0
Ed McCaffrey,PERSON,40,0
North Carolina,GPE,40,0
Mick Mixon,PERSON,40,0
Eugene Robinson,PERSON,40,0
Jim Szoke,PERSON,40,0
WBT,ORG,40,0
99.3,CARDINAL,40,0
Chester,GPE,40,0
South Carolina,GPE,40,0
KOA,ORG,40,0
WBT,ORG,40,0
United States,GPE,40,0
Denver,GPE,40,0
United States,GPE,40,0
Carolina,GPE,40,0
Broncos,PRODUCT,40,0
Panthers,NORP,40,0
the United Kingdom,GPE,41,0
BBC Radio,ORG,41,0
Live Sports Extra,EVENT,41,0
BBC,ORG,41,0
British,NORP,41,0
English,LANGUAGE,41,0
Greg Brady,PERSON,41,0
Darren Fletcher,PERSON,41,0
Rocky Boiman,PERSON,41,0
50th,ORDINAL,42,0
Super Bowl,EVENT,42,0
39,CARDINAL,42,0
43,CARDINAL,42,0
Super Bowl Most Valuable Players,EVENT,42,0
Bart Starr,PERSON,42,0
MVP,ORG,42,0
Super Bowls I and II,ORG,42,0
Chuck Howley,PERSON,42,0
MVP,ORG,42,0
Super Bowl V,EVENT,42,0
Peyton Manning,ORG,42,0
MVP,ORG,42,0
Super Bowl XLI,EVENT,42,0
Broncos,PRODUCT,42,0
Harvey Martin,PERSON,42,0
Super Bowl XII,EVENT,42,0
2001,DATE,42,0
Six,CARDINAL,43,0
Grammy,WORK_OF_ART,43,0
Academy Award,ORG,43,0
Lady Gaga,PERSON,43,0
Academy Award,PERSON,43,0
Marlee Matlin,PERSON,43,0
American Sign Language,WORK_OF_ART,43,0
ASL,ORG,43,0
late November 2015,DATE,44,0
December 3,DATE,44,0
British,NORP,44,0
Coldplay,FAC,44,0
"January 7, 2016",DATE,44,0
Pepsi,ORG,44,0
the Associated Press,ORG,44,0
Beyoncé,ORG,44,0
the Super Bowl,EVENT,44,0
Hymn for the Weekend,WORK_OF_ART,44,0
Bruno Mars,PERSON,44,0
the Super Bowl XLVIII,EVENT,44,0
Mark Ronson,PERSON,44,0
Denver,GPE,45,0
Peyton Manning,EVENT,45,0
18,CARDINAL,45,0
Owen Daniels,PERSON,45,0
22,CARDINAL,45,0
Andre Caldwell,PERSON,45,0
C. J. Anderson,PERSON,45,0
20 yards,QUANTITY,45,0
14,CARDINAL,45,0
Carolina,GPE,45,0
the next three,DATE,45,0
First,ORDINAL,45,0
Shaq Thompson,PERSON,45,0
Ronnie Hillman,PERSON,45,0
3,CARDINAL,45,0
Thomas Davis,PERSON,45,0
Anderson,PERSON,45,0
1,CARDINAL,45,0
third,ORDINAL,45,0
Denver,GPE,45,0
3–0,CARDINAL,45,0
Brandon,PRODUCT,45,0
34,CARDINAL,45,0
first,ORDINAL,45,0
Carolina,GPE,45,0
Panthers,NORP,46,0
Cam Newton,PERSON,46,0
24,CARDINAL,46,0
Jerricho Cotchery,PERSON,46,0
CBS,ORG,46,0
Mike Carey,PERSON,46,0
3rd,ORDINAL,46,0
15,CARDINAL,46,0
Von Miller,PERSON,46,0
Newton,ORG,46,0
Malik Jackson,PERSON,46,0
Broncos,PRODUCT,46,0
first,ORDINAL,46,0
a Super Bowl,EVENT,46,0
Super Bowl XXVIII,EVENT,46,0
the end of the 1993 season,DATE,46,0
Carolina,GPE,47,0
9,CARDINAL,47,0
73,CARDINAL,47,0
Newton,ORG,47,0
4,CARDINAL,47,0
4,CARDINAL,47,0
51 yards,QUANTITY,47,0
25 yards,QUANTITY,47,0
Jonathan Stewart,PERSON,47,0
1,CARDINAL,47,0
11:28,TIME,47,0
the second quarter,DATE,47,0
Broncos,PRODUCT,47,0
Jordan Norwood,PERSON,47,0
Brad Nortman's,PERSON,47,0
28,CARDINAL,47,0
Panthers,NORP,47,0
Norwood,ORG,47,0
Norwood,ORG,47,0
Super Bowl,EVENT,47,0
61,CARDINAL,47,0
Mario Addison,PERSON,47,0
14,CARDINAL,47,0
Denver,GPE,47,0
McManus,PERSON,47,0
33,CARDINAL,47,0
Carolina,GPE,48,0
Mike Tolbert,PERSON,48,0
Darian Stewart,PERSON,48,0
Danny Trevathan,PERSON,48,0
Panthers,NORP,48,0
Kony Ealy,PERSON,48,0
19 yards,QUANTITY,48,0
39,CARDINAL,48,0
1:55,TIME,48,0
Panthers,NORP,48,0
Denver,GPE,48,0
Carolina,LOC,48,0
11 seconds,TIME,48,0
Newton,ORG,48,0
DeMarcus Ware,ORG,48,0
half,CARDINAL,48,0
the second half,DATE,49,0
Newton,ORG,49,0
45,CARDINAL,49,0
Ted Ginn Jr.,PERSON,49,0
Denver,GPE,49,0
35,CARDINAL,49,0
second,ORDINAL,49,0
Broncos,PRODUCT,49,0
26,CARDINAL,49,0
Graham Gano,PERSON,49,0
44,CARDINAL,49,0
Manning,PERSON,49,0
Emmanuel Sanders,PERSON,49,0
25 and 22 yards,TIME,49,0
McManus,ORG,49,0
33,CARDINAL,49,0
Broncos,PRODUCT,49,0
16–7,FAC,49,0
Carolina,LOC,49,0
Newton,ORG,49,0
42,CARDINAL,49,0
Corey Brown,PERSON,49,0
Newton,ORG,49,0
Ginn,PERSON,49,0
T. J. Ward,PERSON,49,0
Trevathan,ORG,49,0
Denver,GPE,49,0
the third quarter,DATE,50,0
fourth,ORDINAL,50,0
Broncos,PRODUCT,50,0
Ealy,GPE,50,0
Carolina,LOC,50,0
50,CARDINAL,50,0
16,CARDINAL,50,0
Devin Funchess,PERSON,50,0
12,CARDINAL,50,0
Stewart,PERSON,50,0
Gano,PERSON,50,0
39,CARDINAL,50,0
Panthers,NORP,50,0
one,CARDINAL,50,0
three,CARDINAL,50,0
4:51,PERSON,51,0
Carolina,GPE,51,0
24,CARDINAL,51,0
3rd,ORDINAL,51,0
Miller,PERSON,51,0
Newton,GPE,51,0
Ward,ORG,51,0
five yards,QUANTITY,51,0
Newton,ORG,51,0
Denver,GPE,51,0
three,CARDINAL,51,0
Josh Norman,PERSON,51,0
Broncos,PRODUCT,51,0
Anderson,PERSON,51,0
2,CARDINAL,51,0
Manning,PERSON,51,0
Bennie Fowler,PERSON,51,0
2,CARDINAL,51,0
Denver,GPE,51,0
24–10,CARDINAL,51,0
3:08,CARDINAL,51,0
Carolina,LOC,51,0
two,CARDINAL,51,0
first,ORDINAL,51,0
13,CARDINAL,52,0
23,CARDINAL,52,0
141 yards,QUANTITY,52,0
one,CARDINAL,52,0
zero,CARDINAL,52,0
six,CARDINAL,52,0
83 yards,QUANTITY,52,0
Anderson,PERSON,52,0
90 yards,QUANTITY,52,0
four,CARDINAL,52,0
10 yards,QUANTITY,52,0
Miller,PERSON,52,0
six,CARDINAL,52,0
five,CARDINAL,52,0
2½,CARDINAL,52,0
two,CARDINAL,52,0
five,CARDINAL,52,0
two,CARDINAL,52,0
Ward,ORG,52,0
seven,CARDINAL,52,0
McManus,PERSON,52,0
four,CARDINAL,52,0
11,CARDINAL,52,0
the post-season,DATE,52,0
Newton,ORG,52,0
18,CARDINAL,52,0
41,CARDINAL,52,0
